id,cust_id,order_date,order_details,total_order_cost
1,3,2019-03-04,Coat,100
2,3,2019-03-01,Shoes,80
3,3,2019-03-07,Skirt,30
4,7,2019-02-01,Coat,25
5,7,2019-03-10,Shoes,80
6,15,2019-02-01,Boats,100
7,15,2019-01-11,Shirts,60
8,15,2019-03-11,Slipper,20
9,15,2019-03-01,Jeans,80
10,15,2019-03-09,Shirts,50
11,5,2019-02-01,Shoes,80
12,12,2019-01-11,Shirts,60
13,12,2019-03-11,Slipper,20
14,4,2019-02-01,Shoes,80
15,4,2019-01-11,Shirts,60
16,3,2019-04-19,Shirts,50
17,7,2019-04-19,Suit,150
18,15,2019-04-19,Skirt,30
19,15,2019-04-20,Dresses,200
20,12,2019-01-11,Coat,125
21,7,2019-04-01,Suit,50
22,7,2019-04-02,Skirt,30
23,7,2019-04-03,Dresses,50
24,7,2019-04-04,Coat,25
25,7,2019-04-19,Coat,125
