user_id,timestamp,action
0,2019-04-25 13:30:15,page_load
0,2019-04-25 13:30:18,page_load
0,2019-04-25 13:30:40,scroll_down
0,2019-04-25 13:30:45,scroll_up
0,2019-04-25 13:31:10,scroll_down
0,2019-04-25 13:31:25,scroll_down
0,2019-04-25 13:31:40,page_exit
1,2019-04-25 13:40:00,page_load
1,2019-04-25 13:40:10,scroll_down
1,2019-04-25 13:40:15,scroll_down
1,2019-04-25 13:40:20,scroll_down
1,2019-04-25 13:40:25,scroll_down
1,2019-04-25 13:40:30,scroll_down
1,2019-04-25 13:40:35,page_exit
2,2019-04-25 13:41:21,page_load
2,2019-04-25 13:41:30,scroll_down
2,2019-04-25 13:41:35,scroll_down
2,2019-04-25 13:41:40,scroll_up
1,2019-04-26 11:15:00,page_load
1,2019-04-26 11:15:10,scroll_down
1,2019-04-26 11:15:20,scroll_down
1,2019-04-26 11:15:25,scroll_up
1,2019-04-26 11:15:35,page_exit
0,2019-04-28 14:30:15,page_load
0,2019-04-28 14:30:10,page_load
0,2019-04-28 13:30:40,scroll_down
0,2019-04-28 15:31:40,page_exit
